年度	醫事機構代碼	醫事機構名稱	特約類別	分母病人入院日起6個月內期間接受心臟復健人次數_含跨院住院及門診	18歲以上因急性心肌梗塞AMI入院治療的出院人次數	急性心肌梗塞病人接受心臟復健之比率	申報醫師數	病患平均年齡	病患重大傷病人數	病患重大傷病比率	縣市別	鄉鎮別
2022年全年度	1137010024	彰化基督教醫療財團法人彰化基督教醫院	醫學中心	4	112	0.0357	16	61.9727	16	0.1455	10007	10007010
2022年下半年度	1137010024	彰化基督教醫療財團法人彰化基督教醫院	醫學中心	2	58	0.0345	14	60.6316	7	0.1228	10007	10007010
2023年上半年度	1137010024	彰化基督教醫療財團法人彰化基督教醫院	醫學中心	2	48	0.0417	14	60.4681	7	0.1489	10007	10007010
2022年上半年度	1137020511	秀傳醫療財團法人彰濱秀傳紀念醫院	區域醫院	1	8	0.125	3	52	2	0.25	10007	10007020
2022年全年度	1137020511	秀傳醫療財團法人彰濱秀傳紀念醫院	區域醫院	1	15	0.0667	3	56.5333	2	0.1333	10007	10007020
2022年下半年度	1137020511	秀傳醫療財團法人彰濱秀傳紀念醫院	區域醫院	0	7	0	3	61.7143	0	0	10007	10007020
2023年上半年度	1137020511	秀傳醫療財團法人彰濱秀傳紀念醫院	區域醫院	0	5	0	3	47.8	0	0	10007	10007020
2022年全年度	1137020520	彰化基督教醫療財團法人鹿港基督教醫院	地區醫院	1	1	1	1	59	0	0	10007	10007020
2022年下半年度	1137020520	彰化基督教醫療財團法人鹿港基督教醫院	地區醫院	1	1	1	1	59	0	0	10007	10007020
2022年上半年度	1137050019	彰化基督教醫療財團法人員林基督教醫院	地區醫院	0	15	0	6	58.0667	4	0.2667	10007	10007100
2022年全年度	1137050019	彰化基督教醫療財團法人員林基督教醫院	地區醫院	0	39	0	6	57.6842	5	0.1316	10007	10007100
2022年下半年度	1137050019	彰化基督教醫療財團法人員林基督教醫院	地區醫院	0	24	0	4	57.4348	1	0.0435	10007	10007100
2023年上半年度	1137050019	彰化基督教醫療財團法人員林基督教醫院	地區醫院	1	28	0.0357	4	57.6296	7	0.2593	10007	10007100
2022年上半年度	1138010019	彰化基督教醫療財團法人南投基督教醫院	地區醫院	0	1	0	1	84	1	1	10008	10008010
2022年全年度	1138010019	彰化基督教醫療財團法人南投基督教醫院	地區醫院	0	1	0	1	84	1	1	10008	10008010
2022年上半年度	1138020015	埔基醫療財團法人埔里基督教醫院	區域醫院	0	8	0	2	56.125	0	0	10008	10008020
2022年全年度	1138020015	埔基醫療財團法人埔里基督教醫院	區域醫院	1	20	0.05	2	59.7895	0	0	10008	10008020
2022年下半年度	1138020015	埔基醫療財團法人埔里基督教醫院	區域醫院	1	12	0.0833	2	62.25	0	0	10008	10008020
2023年上半年度	1138020015	埔基醫療財團法人埔里基督教醫院	區域醫院	1	13	0.0769	3	62	1	0.0769	10008	10008020
2022年上半年度	1139040011	彰化基督教醫療財團法人雲林基督教醫院	地區醫院	0	3	0	3	63	0	0	10009	10009040
2022年全年度	1139040011	彰化基督教醫療財團法人雲林基督教醫院	地區醫院	0	9	0	3	56.7778	2	0.2222	10009	10009040
2022年下半年度	1139040011	彰化基督教醫療財團法人雲林基督教醫院	地區醫院	0	6	0	2	53.6667	2	0.3333	10009	10009040
2023年上半年度	1139040011	彰化基督教醫療財團法人雲林基督教醫院	地區醫院	2	8	0.25	3	54	1	0.125	10009	10009040
2022年上半年度	1140010510	長庚醫療財團法人嘉義長庚紀念醫院	區域醫院	18	26	0.6923	9	64.1538	5	0.1923	10010	10010020
2022年全年度	1140010510	長庚醫療財團法人嘉義長庚紀念醫院	區域醫院	39	51	0.7647	10	64.46	10	0.2	10010	10010020
2022年下半年度	1140010510	長庚醫療財團法人嘉義長庚紀念醫院	區域醫院	21	25	0.84	7	64.7917	5	0.2083	10010	10010020
2023年上半年度	1140010510	長庚醫療財團法人嘉義長庚紀念醫院	區域醫院	21	29	0.7241	9	60.7931	6	0.2069	10010	10010020
2022年上半年度	1140030012	佛教慈濟醫療財團法人大林慈濟醫院	區域醫院	3	9	0.3333	4	60.5556	1	0.1111	10010	10010040
2022年全年度	1140030012	佛教慈濟醫療財團法人大林慈濟醫院	區域醫院	5	17	0.2941	6	60.8824	1	0.0588	10010	10010040
2022年下半年度	1140030012	佛教慈濟醫療財團法人大林慈濟醫院	區域醫院	2	8	0.25	5	61.25	0	0	10010	10010040
2023年上半年度	1140030012	佛教慈濟醫療財團法人大林慈濟醫院	區域醫院	1	7	0.1429	4	61.5714	0	0	10010	10010040
2022年上半年度	1141090512	奇美醫療財團法人柳營奇美醫院	區域醫院	25	35	0.7143	10	61.2647	2	0.0588	10021	67000040
2022年上半年度	1141090512	奇美醫療財團法人柳營奇美醫院	區域醫院	25	35	0.7143	10	61.2647	2	0.0588	10021	67000040
2022年全年度	1141090512	奇美醫療財團法人柳營奇美醫院	區域醫院	51	70	0.7286	10	61.0435	8	0.1159	10021	67000040
2022年全年度	1141090512	奇美醫療財團法人柳營奇美醫院	區域醫院	51	70	0.7286	10	61.0435	8	0.1159	10021	67000040
2022年下半年度	1141090512	奇美醫療財團法人柳營奇美醫院	區域醫院	26	35	0.7429	9	60.8286	6	0.1714	10021	67000040
2022年下半年度	1141090512	奇美醫療財團法人柳營奇美醫院	區域醫院	26	35	0.7429	9	60.8286	6	0.1714	10021	67000040
2023年上半年度	1141090512	奇美醫療財團法人柳營奇美醫院	區域醫院	42	49	0.8571	9	62.6122	5	0.102	10021	67000040
2023年上半年度	1141090512	奇美醫療財團法人柳營奇美醫院	區域醫院	42	49	0.8571	9	62.6122	5	0.102	10021	67000040
2022年上半年度	1141310019	奇美醫療財團法人奇美醫院	醫學中心	36	48	0.75	11	58.6667	3	0.0625	10021	67000310
2022年上半年度	1141310019	奇美醫療財團法人奇美醫院	醫學中心	36	48	0.75	11	58.6667	3	0.0625	10021	67000310
2022年全年度	1141310019	奇美醫療財團法人奇美醫院	醫學中心	88	109	0.8073	16	57.6789	13	0.1193	10021	67000310
2022年全年度	1141310019	奇美醫療財團法人奇美醫院	醫學中心	88	109	0.8073	16	57.6789	13	0.1193	10021	67000310
2022年下半年度	1141310019	奇美醫療財團法人奇美醫院	醫學中心	52	61	0.8525	13	56.9016	10	0.1639	10021	67000310
2022年下半年度	1141310019	奇美醫療財團法人奇美醫院	醫學中心	52	61	0.8525	13	56.9016	10	0.1639	10021	67000310
2023年上半年度	1141310019	奇美醫療財團法人奇美醫院	醫學中心	33	49	0.6735	11	62.9167	6	0.125	10021	67000310
2023年上半年度	1141310019	奇美醫療財團法人奇美醫院	醫學中心	33	49	0.6735	11	62.9167	6	0.125	10021	67000310
2022年上半年度	1142100017	長庚醫療財團法人高雄長庚紀念醫院	醫學中心	28	72	0.3889	25	59.1972	10	0.1408	64000	64000180
2022年上半年度	1142100017	長庚醫療財團法人高雄長庚紀念醫院	醫學中心	28	72	0.3889	25	59.1972	10	0.1408	64000	64000180
2022年全年度	1142100017	長庚醫療財團法人高雄長庚紀念醫院	醫學中心	66	146	0.4521	30	59.3125	20	0.1389	64000	64000180
2022年全年度	1142100017	長庚醫療財團法人高雄長庚紀念醫院	醫學中心	66	146	0.4521	30	59.3125	20	0.1389	64000	64000180
2022年下半年度	1142100017	長庚醫療財團法人高雄長庚紀念醫院	醫學中心	38	74	0.5135	19	59.4247	10	0.137	64000	64000180
2022年下半年度	1142100017	長庚醫療財團法人高雄長庚紀念醫院	醫學中心	38	74	0.5135	19	59.4247	10	0.137	64000	64000180
2023年上半年度	1142100017	長庚醫療財團法人高雄長庚紀念醫院	醫學中心	26	68	0.3824	17	58.3529	8	0.1176	64000	64000180
2023年上半年度	1142100017	長庚醫療財團法人高雄長庚紀念醫院	醫學中心	26	68	0.3824	17	58.3529	8	0.1176	64000	64000180
2022年上半年度	1142120001	義大醫療財團法人義大醫院	區域醫院	33	41	0.8049	8	62.7317	3	0.0732	64000	64000210
2022年上半年度	1142120001	義大醫療財團法人義大醫院	區域醫院	33	41	0.8049	8	62.7317	3	0.0732	64000	64000210
2022年全年度	1142120001	義大醫療財團法人義大醫院	區域醫院	55	78	0.7051	11	60.9103	7	0.0897	64000	64000210
2022年全年度	1142120001	義大醫療財團法人義大醫院	區域醫院	55	78	0.7051	11	60.9103	7	0.0897	64000	64000210
2022年下半年度	1142120001	義大醫療財團法人義大醫院	區域醫院	22	37	0.5946	8	58.8919	4	0.1081	64000	64000210
2022年下半年度	1142120001	義大醫療財團法人義大醫院	區域醫院	22	37	0.5946	8	58.8919	4	0.1081	64000	64000210
2023年上半年度	1142120001	義大醫療財團法人義大醫院	區域醫院	30	41	0.7317	9	59.3415	4	0.0976	64000	64000210
2023年上半年度	1142120001	義大醫療財團法人義大醫院	區域醫院	30	41	0.7317	9	59.3415	4	0.0976	64000	64000210
2022年上半年度	1143010012	屏基醫療財團法人屏東基督教醫院	區域醫院	0	45	0	6	61	6	0.1364	10013	10013010
2022年全年度	1143010012	屏基醫療財團法人屏東基督教醫院	區域醫院	0	83	0	6	60.4268	10	0.122	10013	10013010
2022年下半年度	1143010012	屏基醫療財團法人屏東基督教醫院	區域醫院	0	38	0	6	59.7632	4	0.1053	10013	10013010
2023年上半年度	1143010012	屏基醫療財團法人屏東基督教醫院	區域醫院	4	42	0.0952	6	62.7857	9	0.2143	10013	10013010
2022年上半年度	1145010010	佛教慈濟醫療財團法人花蓮慈濟醫院	醫學中心	14	34	0.4118	5	60.7059	4	0.1176	10015	10015010
2022年全年度	1145010010	佛教慈濟醫療財團法人花蓮慈濟醫院	醫學中心	26	68	0.3824	8	58.5735	8	0.1176	10015	10015010
2022年下半年度	1145010010	佛教慈濟醫療財團法人花蓮慈濟醫院	醫學中心	12	34	0.3529	8	56.4412	4	0.1176	10015	10015010
2023年上半年度	1145010010	佛教慈濟醫療財團法人花蓮慈濟醫院	醫學中心	11	39	0.2821	9	61.0833	3	0.0833	10015	10015010
2022年上半年度	1145010038	臺灣基督教門諾會醫療財團法人門諾醫院	區域醫院	2	10	0.2	4	52.2	1	0.1	10015	10015010
2022年全年度	1145010038	臺灣基督教門諾會醫療財團法人門諾醫院	區域醫院	7	19	0.3684	6	55.4211	1	0.0526	10015	10015010
2022年下半年度	1145010038	臺灣基督教門諾會醫療財團法人門諾醫院	區域醫院	5	9	0.5556	4	59	0	0	10015	10015010
2023年上半年度	1145010038	臺灣基督教門諾會醫療財團法人門諾醫院	區域醫院	3	8	0.375	3	58.375	0	0	10015	10015010
2022年上半年度	1145030012	佛教慈濟醫療財團法人玉里慈濟醫院	地區醫院	0	1	0	1	92	0	0	10015	10015030
2022年全年度	1145030012	佛教慈濟醫療財團法人玉里慈濟醫院	地區醫院	0	1	0	1	92	0	0	10015	10015030
2022年上半年度	1146010014	台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院	區域醫院	0	27	0	8	58.963	5	0.1852	10014	10014010
2022年全年度	1146010014	台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院	區域醫院	3	55	0.0545	9	58.0182	11	0.2	10014	10014010
2022年下半年度	1146010014	台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院	區域醫院	3	28	0.1071	8	57.1071	6	0.2143	10014	10014010
2023年上半年度	1146010014	台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院	區域醫院	8	26	0.3077	8	59.8462	2	0.0769	10014	10014010
2023年上半年度	1146010032	東基醫療財團法人台東基督教醫院	地區醫院	0	1	0	1	57	0	0	10014	10014010
2022年上半年度	1231030015	天主教耕莘醫療財團法人永和耕莘醫院	地區醫院	1	5	0.2	2	60.2	1	0.2	65000	65000040
2022年全年度	1231030015	天主教耕莘醫療財團法人永和耕莘醫院	地區醫院	1	14	0.0714	3	57.5714	2	0.1429	65000	65000040
2022年下半年度	1231030015	天主教耕莘醫療財團法人永和耕莘醫院	地區醫院	0	9	0	2	56.1111	1	0.1111	65000	65000040
2023年上半年度	1231030015	天主教耕莘醫療財團法人永和耕莘醫院	地區醫院	0	11	0	3	60.4545	0	0	65000	65000040
2022年上半年度	1231050017	天主教耕莘醫療財團法人耕莘醫院	區域醫院	9	29	0.3103	5	61.5714	1	0.0357	65000	65000060
2022年全年度	1231050017	天主教耕莘醫療財團法人耕莘醫院	區域醫院	17	56	0.3036	7	61.1111	1	0.0185	65000	65000060
2022年下半年度	1231050017	天主教耕莘醫療財團法人耕莘醫院	區域醫院	8	27	0.2963	7	60.4815	0	0	65000	65000060
2023年上半年度	1231050017	天主教耕莘醫療財團法人耕莘醫院	區域醫院	6	21	0.2857	6	63.3333	1	0.0476	65000	65000060
2022年上半年度	1301170017	臺北醫學大學附設醫院	區域醫院	18	24	0.75	10	59.8696	4	0.1739	63000	63000020
2022年全年度	1301170017	臺北醫學大學附設醫院	區域醫院	37	53	0.6981	15	59.451	6	0.1176	63000	63000020
2022年下半年度	1301170017	臺北醫學大學附設醫院	區域醫院	19	29	0.6552	12	59.1071	2	0.0714	63000	63000020
2023年上半年度	1301170017	臺北醫學大學附設醫院	區域醫院	30	41	0.7317	12	63.6923	5	0.1282	63000	63000020
2022年上半年度	1301200010	臺北市立萬芳醫院－委託臺北醫學大學辦理	醫學中心	23	24	0.9583	9	56.6667	6	0.25	63000	63000080
2022年全年度	1301200010	臺北市立萬芳醫院－委託臺北醫學大學辦理	醫學中心	44	46	0.9565	11	58.8261	9	0.1957	63000	63000080
2022年下半年度	1301200010	臺北市立萬芳醫院－委託臺北醫學大學辦理	醫學中心	21	22	0.9545	10	61.1818	3	0.1364	63000	63000080
2023年上半年度	1301200010	臺北市立萬芳醫院－委託臺北醫學大學辦理	醫學中心	21	25	0.84	12	58.64	3	0.12	63000	63000080
2022年上半年度	1302050014	財團法人私立高雄醫學大學附設中和紀念醫院	醫學中心	34	44	0.7727	15	57	2	0.0455	64000	64000050
2022年上半年度	1302050014	財團法人私立高雄醫學大學附設中和紀念醫院	醫學中心	34	44	0.7727	15	57	2	0.0455	64000	64000050
2022年全年度	1302050014	財團法人私立高雄醫學大學附設中和紀念醫院	醫學中心	50	83	0.6024	17	58.5663	5	0.0602	64000	64000050
2022年全年度	1302050014	財團法人私立高雄醫學大學附設中和紀念醫院	醫學中心	50	83	0.6024	17	58.5663	5	0.0602	64000	64000050
2022年下半年度	1302050014	財團法人私立高雄醫學大學附設中和紀念醫院	醫學中心	16	39	0.4103	13	60.3333	3	0.0769	64000	64000050
2022年下半年度	1302050014	財團法人私立高雄醫學大學附設中和紀念醫院	醫學中心	16	39	0.4103	13	60.3333	3	0.0769	64000	64000050
2023年上半年度	1302050014	財團法人私立高雄醫學大學附設中和紀念醫院	醫學中心	22	37	0.5946	13	58.9459	5	0.1351	64000	64000050
2023年上半年度	1302050014	財團法人私立高雄醫學大學附設中和紀念醫院	醫學中心	22	37	0.5946	13	58.9459	5	0.1351	64000	64000050
2022年上半年度	1303180011	亞洲大學附屬醫院	區域醫院	12	19	0.6316	6	58.4444	4	0.2222	66000	66000260
2022年全年度	1303180011	亞洲大學附屬醫院	區域醫院	24	39	0.6154	6	60.5135	7	0.1892	66000	66000260
2022年下半年度	1303180011	亞洲大學附屬醫院	區域醫院	12	20	0.6	5	62.4	3	0.15	66000	66000260
2023年上半年度	1303180011	亞洲大學附屬醫院	區域醫院	22	25	0.88	7	59.1739	4	0.1739	66000	66000260
2022年上半年度	1305370013	臺南市立安南醫院-委託中國醫藥大學興建經營	區域醫院	1	19	0.0526	3	58.0526	0	0	10021	10021060
2022年全年度	1305370013	臺南市立安南醫院-委託中國醫藥大學興建經營	區域醫院	1	48	0.0208	8	56.6458	2	0.0417	10021	10021060
2022年下半年度	1305370013	臺南市立安南醫院-委託中國醫藥大學興建經營	區域醫院	0	29	0	8	55.7241	2	0.069	10021	10021060
2023年上半年度	1305370013	臺南市立安南醫院-委託中國醫藥大學興建經營	區域醫院	1	18	0.0556	7	60.5	1	0.0556	10021	10021060
2022年上半年度	1317040011	中山醫學大學附設醫院	醫學中心	22	28	0.7857	9	60	4	0.1481	66000	10019030
2022年上半年度	1317040011	中山醫學大學附設醫院	醫學中心	22	28	0.7857	9	60	4	0.1481	66000	10019030
2022年全年度	1317040011	中山醫學大學附設醫院	醫學中心	40	60	0.6667	11	60.1525	8	0.1356	66000	10019030
2022年全年度	1317040011	中山醫學大學附設醫院	醫學中心	40	60	0.6667	11	60.1525	8	0.1356	66000	10019030
2022年下半年度	1317040011	中山醫學大學附設醫院	醫學中心	18	32	0.5625	9	60.2813	4	0.125	66000	10019030
2022年下半年度	1317040011	中山醫學大學附設醫院	醫學中心	18	32	0.5625	9	60.2813	4	0.125	66000	10019030
2023年上半年度	1317040011	中山醫學大學附設醫院	醫學中心	19	30	0.6333	10	59.4667	3	0.1	66000	10019030
2023年上半年度	1317040011	中山醫學大學附設醫院	醫學中心	19	30	0.6333	10	59.4667	3	0.1	66000	10019030
2022年上半年度	1317050017	中國醫藥大學附設醫院	醫學中心	30	67	0.4478	14	60.0299	4	0.0597	66000	10019050
2022年上半年度	1317050017	中國醫藥大學附設醫院	醫學中心	30	67	0.4478	14	60.0299	4	0.0597	66000	10019050
2022年全年度	1317050017	中國醫藥大學附設醫院	醫學中心	70	135	0.5185	23	59.2222	15	0.1111	66000	10019050
2022年全年度	1317050017	中國醫藥大學附設醫院	醫學中心	70	135	0.5185	23	59.2222	15	0.1111	66000	10019050
2022年下半年度	1317050017	中國醫藥大學附設醫院	醫學中心	40	68	0.5882	19	58.4265	11	0.1618	66000	10019050
2022年下半年度	1317050017	中國醫藥大學附設醫院	醫學中心	40	68	0.5882	19	58.4265	11	0.1618	66000	10019050
2023年上半年度	1317050017	中國醫藥大學附設醫院	醫學中心	53	93	0.5699	27	62.5333	21	0.2333	66000	10019050
2023年上半年度	1317050017	中國醫藥大學附設醫院	醫學中心	53	93	0.5699	27	62.5333	21	0.2333	66000	10019050
2022年上半年度	1331040513	衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉	醫學中心	47	67	0.7015	15	63.1061	7	0.1061	65000	65000030
2022年全年度	1331040513	衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉	醫學中心	82	115	0.713	18	60.8158	12	0.1053	65000	65000030
2022年下半年度	1331040513	衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉	醫學中心	35	48	0.7292	13	57.6667	5	0.1042	65000	65000030
2023年上半年度	1331040513	衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉	醫學中心	31	52	0.5962	12	59.1923	8	0.1538	65000	65000030
2022年上半年度	1331160010	輔仁大學學校財團法人輔仁大學附設醫院	區域醫院	19	26	0.7308	9	61.3462	2	0.0769	65000	65000160
2022年全年度	1331160010	輔仁大學學校財團法人輔仁大學附設醫院	區域醫院	38	51	0.7451	9	58.5102	5	0.102	65000	65000160
2022年下半年度	1331160010	輔仁大學學校財團法人輔仁大學附設醫院	區域醫院	19	25	0.76	7	55	3	0.125	65000	65000160
2023年上半年度	1331160010	輔仁大學學校財團法人輔仁大學附設醫院	區域醫院	15	22	0.6818	10	60.4286	0	0	65000	65000160
2022年上半年度	1333050017	中國醫藥大學新竹附設醫院	地區醫院	2	12	0.1667	4	59.5833	1	0.0833	10004	10004010
2022年全年度	1333050017	中國醫藥大學新竹附設醫院	地區醫院	4	28	0.1429	6	56.6296	4	0.1481	10004	10004010
2022年下半年度	1333050017	中國醫藥大學新竹附設醫院	地區醫院	2	16	0.125	4	54.2667	3	0.2	10004	10004010
2023年上半年度	1333050017	中國醫藥大學新竹附設醫院	地區醫院	0	16	0	5	56.625	2	0.125	10004	10004010
2022年上半年度	1339060017	中國醫藥大學北港附設醫院	區域醫院	1	23	0.0435	3	62.3478	2	0.087	10009	10009060
2022年全年度	1339060017	中國醫藥大學北港附設醫院	區域醫院	2	44	0.0455	5	61.5909	5	0.1136	10009	10009060
2022年下半年度	1339060017	中國醫藥大學北港附設醫院	區域醫院	1	21	0.0476	3	60.7619	3	0.1429	10009	10009060
2023年上半年度	1339060017	中國醫藥大學北港附設醫院	區域醫院	3	22	0.1364	2	63.2857	3	0.1429	10009	10009060
2022年上半年度	1343030018	輔英科技大學附設醫院	區域醫院	0	2	0	1	58	0	0	10013	10013030
2022年全年度	1343030018	輔英科技大學附設醫院	區域醫院	1	7	0.1429	2	64.5	0	0	10013	10013030
2022年下半年度	1343030018	輔英科技大學附設醫院	區域醫院	1	5	0.2	2	63.6	0	0	10013	10013030
2022年全年度	1436020013	東勢區農會附設農民醫院	地區醫院	0	1	0	1	66	0	0	66000	66000100
2022年全年度	1436020013	東勢區農會附設農民醫院	地區醫院	0	1	0	1	66	0	0	66000	66000100
2022年下半年度	1436020013	東勢區農會附設農民醫院	地區醫院	0	1	0	1	66	0	0	66000	66000100
2022年下半年度	1436020013	東勢區農會附設農民醫院	地區醫院	0	1	0	1	66	0	0	66000	66000100
2022年上半年度	1501010010	博仁綜合醫院	地區醫院	1	2	0.5	1	52	0	0	63000	63000010
2022年全年度	1501010010	博仁綜合醫院	地區醫院	1	2	0.5	1	52	0	0	63000	63000010
2022年全年度	1502040021	健仁醫院	地區醫院	0	1	0	1	46	1	1	64000	64000040
2022年全年度	1502040021	健仁醫院	地區醫院	0	1	0	1	46	1	1	64000	64000040
2022年下半年度	1502040021	健仁醫院	地區醫院	0	1	0	1	46	1	1	64000	64000040
2022年下半年度	1502040021	健仁醫院	地區醫院	0	1	0	1	46	1	1	64000	64000040
2023年上半年度	1502040021	健仁醫院	地區醫院	0	1	0	1	61	0	0	64000	64000040
2023年上半年度	1502040021	健仁醫院	地區醫院	0	1	0	1	61	0	0	64000	64000040
2022年上半年度	1502050170	祐生醫院	地區醫院	0	1	0	1	61	1	1	64000	64000050
2022年上半年度	1502050170	祐生醫院	地區醫院	0	1	0	1	61	1	1	64000	64000050
2022年全年度	1502050170	祐生醫院	地區醫院	0	1	0	1	61	1	1	64000	64000050
2022年全年度	1502050170	祐生醫院	地區醫院	0	1	0	1	61	1	1	64000	64000050
2022年上半年度	1503190020	長安醫院	地區醫院	0	4	0	3	59.5	1	0.25	66000	66000270
2022年全年度	1503190020	長安醫院	地區醫院	0	7	0	3	62.1429	1	0.1429	66000	66000270
2022年下半年度	1503190020	長安醫院	地區醫院	0	3	0	2	65.6667	0	0	66000	66000270
2023年上半年度	1503190020	長安醫院	地區醫院	0	4	0	2	46.25	0	0	66000	66000270
2022年上半年度	1511010068	新昆明醫院	地區醫院	0	1	0	1	80	0	0	10017	10017010
2022年全年度	1511010068	新昆明醫院	地區醫院	0	1	0	1	80	0	0	10017	10017010
2022年上半年度	1512011185	南門綜合醫院	地區醫院	1	16	0.0625	3	58.5625	2	0.125	10018	10018010
2022年全年度	1512011185	南門綜合醫院	地區醫院	2	31	0.0645	4	56.3871	3	0.0968	10018	10018010
2022年下半年度	1512011185	南門綜合醫院	地區醫院	1	15	0.0667	4	54.0667	1	0.0667	10018	10018010
2023年上半年度	1512011185	南門綜合醫院	地區醫院	0	20	0	2	58.45	2	0.1	10018	10018010
2022年上半年度	1517061032	澄清綜合醫院中港分院	區域醫院	1	12	0.0833	6	54.0833	1	0.0833	66000	10019060
2022年上半年度	1517061032	澄清綜合醫院中港分院	區域醫院	1	12	0.0833	6	54.0833	1	0.0833	66000	10019060
2022年全年度	1517061032	澄清綜合醫院中港分院	區域醫院	2	38	0.0526	7	57.9211	5	0.1316	66000	10019060
2022年全年度	1517061032	澄清綜合醫院中港分院	區域醫院	2	38	0.0526	7	57.9211	5	0.1316	66000	10019060
2022年下半年度	1517061032	澄清綜合醫院中港分院	區域醫院	1	26	0.0385	7	59.6923	4	0.1538	66000	10019060
2022年下半年度	1517061032	澄清綜合醫院中港分院	區域醫院	1	26	0.0385	7	59.6923	4	0.1538	66000	10019060
2023年上半年度	1517061032	澄清綜合醫院中港分院	區域醫院	2	22	0.0909	8	58.8571	2	0.0952	66000	10019060
2023年上半年度	1517061032	澄清綜合醫院中港分院	區域醫院	2	22	0.0909	8	58.8571	2	0.0952	66000	10019060
2023年上半年度	1517080019	聯安醫院	地區醫院	0	1	0	1	34	0	0	66000	10019080
2023年上半年度	1517080019	聯安醫院	地區醫院	0	1	0	1	34	0	0	66000	10019080
2022年上半年度	1521031104	郭綜合醫院	地區醫院	0	8	0	2	67.625	0	0	10021	10021080
2022年上半年度	1521031104	郭綜合醫院	地區醫院	0	8	0	2	67.625	0	0	10021	10021080
2022年全年度	1521031104	郭綜合醫院	地區醫院	1	14	0.0714	2	66.5714	2	0.1429	10021	10021080
2022年全年度	1521031104	郭綜合醫院	地區醫院	1	14	0.0714	2	66.5714	2	0.1429	10021	10021080
2022年下半年度	1521031104	郭綜合醫院	地區醫院	1	6	0.1667	2	65.1667	2	0.3333	10021	10021080
2022年下半年度	1521031104	郭綜合醫院	地區醫院	1	6	0.1667	2	65.1667	2	0.3333	10021	10021080
2023年上半年度	1521031104	郭綜合醫院	地區醫院	0	7	0	2	54	0	0	10021	10021080
2023年上半年度	1521031104	郭綜合醫院	地區醫院	0	7	0	2	54	0	0	10021	10021080
2022年上半年度	1522011115	陽明醫院	地區醫院	0	4	0	2	61.5	0	0	10020	10020010
2022年全年度	1522011115	陽明醫院	地區醫院	0	7	0	3	63.5714	1	0.1429	10020	10020010
2022年下半年度	1522011115	陽明醫院	地區醫院	0	3	0	2	66.3333	1	0.3333	10020	10020010
2023年上半年度	1522011115	陽明醫院	地區醫院	0	1	0	1	68	1	1	10020	10020010
2022年上半年度	1531060180	新泰綜合醫院	地區醫院	0	1	0	1	40	0	0	65000	65000050
2022年全年度	1531060180	新泰綜合醫院	地區醫院	0	1	0	1	40	0	0	65000	65000050
2022年上半年度	1531061249	新泰綜合醫院	地區醫院	0	2	0	1	68.5	0	0	65000	65000050
2022年全年度	1531061249	新泰綜合醫院	地區醫院	0	4	0	1	59.25	0	0	65000	65000050
2022年下半年度	1531061249	新泰綜合醫院	地區醫院	0	2	0	1	50	0	0	65000	65000050
2023年上半年度	1531061249	新泰綜合醫院	地區醫院	1	2	0.5	1	51.5	0	0	65000	65000050
2022年上半年度	1532011154	敏盛綜合醫院	區域醫院	14	26	0.5385	6	59.3077	0	0	68000	68000010
2022年全年度	1532011154	敏盛綜合醫院	區域醫院	29	52	0.5577	8	57.75	4	0.0769	68000	68000010
2022年下半年度	1532011154	敏盛綜合醫院	區域醫院	15	26	0.5769	8	56.1923	4	0.1538	68000	68000010
2023年上半年度	1532011154	敏盛綜合醫院	區域醫院	36	47	0.766	8	59.0213	5	0.1064	68000	68000010
2023年上半年度	1532021338	中壢長榮醫院	地區醫院	1	2	0.5	2	83.5	1	0.5	68000	68000020
2022年上半年度	1532100049	聯新國際醫院	區域醫院	11	18	0.6111	4	58.4444	4	0.2222	68000	68000100
2022年全年度	1532100049	聯新國際醫院	區域醫院	24	43	0.5581	5	59.3023	6	0.1395	68000	68000100
2022年下半年度	1532100049	聯新國際醫院	區域醫院	13	25	0.52	5	59.92	2	0.08	68000	68000100
2023年上半年度	1532100049	聯新國際醫院	區域醫院	18	28	0.6429	6	55.3077	4	0.1538	68000	68000100
2022年全年度	1532101091	陽明醫院	地區醫院	0	1	0	1	82	1	1	68000	68000100
2022年下半年度	1532101091	陽明醫院	地區醫院	0	1	0	1	82	1	1	68000	68000100
2023年上半年度	1532101091	陽明醫院	地區醫院	0	1	0	1	90	0	0	68000	68000100
2022年上半年度	1533051072	新仁醫院	地區醫院	0	1	0	1	50	1	1	10004	10004010
2022年全年度	1533051072	新仁醫院	地區醫院	0	1	0	1	50	1	1	10004	10004010
2022年上半年度	1535010051	大千綜合醫院	地區醫院	1	11	0.0909	2	70.9	2	0.2	10005	10005010
2022年全年度	1535010051	大千綜合醫院	地區醫院	1	15	0.0667	2	67.3571	2	0.1429	10005	10005010
